Description	Category	CategoryID	GO	LogP	Enrichment	Z.score	X.TotalGeneInLibrary	X.GeneInGO	X.GeneInHitList	X.GeneInGOAndHitList	X.InGO	STDV..InGO	GeneID	Hits	Log.q.value.	GeneList
blood vessel development	GO Biological Processes	19	GO:0001568	-2.7	1.7	3.3	27994	794	701	34	4.9	0.81	185|575|577|861|1139|1944|2028|2047|2335|2701|2828|4192|4879|5125|5138|5340|5740|6095|6356|6850|7122|7481|9037|9353|10000|10451|23129|23414|23554|51378|57125|57556|79400|80781	AGTR1|ADGRB1|ADGRB3|RUNX1|CHRNA7|EFNA3|ENPEP|EPHB1|FN1|GJA4|GPR4|MDK|NPPB|PCSK5|PDE2A|PLG|PTGIS|RORA|CCL11|SYK|CLDN5|WNT11|SEMA5A|SLIT2|AKT3|VAV3|PLXND1|ZFPM2|TSPAN12|ANGPT4|PLXDC1|SEMA6A|NOX5|18A1	-2.4	11
blood vessel morphogenesis	GO Biological Processes	19	GO:0048514	-3.3	1.9	3.7	27994	707	700	33	4.7	0.8	14|71|240|350|576|861|1139|1215|1285|1306|2138|2254|4435|4838|5140|5156|5168|5468|5740|6095|6422|10451|23251|23414|26585|51162|55576|56999|57125|57381|80781|147372|153090	AAMP|ACTG1|ALOX5|APOH|ADGRB2|RUNX1|CHRNA7|CMA1|4A3|15A1|EYA1|FGF9|CITED1|NODAL|PDE3B|PDGFRA|ENPP2|PPARG|PTGIS|RORA|SFRP1|VAV3|MINAR1|ZFPM2|GREM1|EGFL7|STAB2|ADAMTS9|PLXDC1|RHOJ|18A1|CCBE1|DAB2IP	-2.8	14
blood vessel morphogenesis	GO Biological Processes	19	GO:0048514	-2.5	1.7	3.1	27994	707	724	31	4.3	0.75	338|575|577|652|861|1901|2028|2138|2321|5140|5396|5468|5579|6095|6369|6444|7075|9734|23166|23414|25960|54345|57125|57608|58504|79400|84432|91010|146850|168667|221981	APOB|ADGRB1|ADGRB3|BMP4|RUNX1|S1PR1|ENPEP|EYA1|FLT1|PDE3B|PRRX1|PPARG|PRKCB|RORA|CCL24|SGCD|TIE1|HDAC9|STAB1|ZFPM2|ADGRA2|SOX18|PLXDC1|JCAD|ARHGAP22|NOX5|PROK1|FMNL3|PIK3R6|BMPER|THSD7A	-2.2	12
blood vessel morphogenesis	GO Biological Processes	19	GO:0048514	-3	1.8	3.5	27994	707	674	31	4.6	0.81	283|577|861|1000|1232|1285|2047|4017|4036|4776|4855|5140|5578|5579|6095|6915|8928|9353|9734|10016|10266|23414|51176|55576|57608|58504|64094|83700|140862|146850|169044	ANG|ADGRB3|RUNX1|CDH2|CCR3|4A3|EPHB1|LOXL2|LRP2|NFATC4|NOTCH4|PDE3B|PRKCA|PRKCB|RORA|TBXA2R|FOXH1|SLIT2|HDAC9|PDCD6|RAMP2|ZFPM2|LEF1|STAB2|JCAD|ARHGAP22|SMOC2|JAM3|ISM1|PIK3R6|22A1	-2.5	7
blood vessel morphogenesis	GO Biological Processes	19	GO:0048514	-3.8	1.9	4.1	27994	707	765	37	4.8	0.78	729|1524|2138|2246|2255|2321|2658|2702|3670|4036|4804|4846|4915|5396|5468|5787|6423|6469|6910|7021|8291|9353|10451|11005|11061|23414|23554|26051|51176|55576|57057|58495|64220|64321|112744|168667|221981	C6|CX3CR1|EYA1|FGF1|FGF10|FLT1|GDF2|GJA5|ISL1|LRP2|NGFR|NOS3|NTRK2|PRRX1|PPARG|PTPRB|SFRP2|SHH|TBX5|TFAP2B|DYSF|SLIT2|VAV3|SPINK5|CNMD|ZFPM2|TSPAN12|PPP1R16B|LEF1|STAB2|TBX20|OVOL2|STRA6|SOX17|IL17F|BMPER|THSD7A	-3.2	19
blood vessel morphogenesis	GO Biological Processes	19	GO:0048514	-2.3	1.7	2.9	27994	707	650	28	4.3	0.8	577|861|1139|2028|2047|3687|4036|4915|5140|5168|5579|5787|6608|7015|7477|8291|8817|9353|23213|23414|55576|57608|58504|64094|79400|83700|221395|100507588	ADGRB3|RUNX1|CHRNA7|ENPEP|EPHB1|ITGAX|LRP2|NTRK2|PDE3B|ENPP2|PRKCB|PTPRB|SMO|TERT|WNT7B|DYSF|FGF18|SLIT2|SULF1|ZFPM2|STAB2|JCAD|ARHGAP22|SMOC2|NOX5|JAM3|ADGRF5|TGFBR3L	-2.1	9
blood vessel morphogenesis	GO Biological Processes	19	GO:0048514	-3.6	2	4	27994	707	670	33	4.9	0.84	577|728|729|861|1139|1285|2047|2138|3037|3593|4036|5140|5154|5230|5764|6095|6688|7010|7015|7058|8291|9037|9353|10563|23414|27035|28984|51176|55576|58495|140862|168667|221981	ADGRB3|C5AR1|C6|RUNX1|CHRNA7|4A3|EPHB1|EYA1|HAS2|IL12B|LRP2|PDE3B|PDGFA|PGK1|PTN|RORA|SPI1|TEK|TERT|THBS2|DYSF|SEMA5A|SLIT2|CXCL13|ZFPM2|NOX1|RGCC|LEF1|STAB2|OVOL2|ISM1|BMPER|THSD7A	-3.1	3
blood vessel morphogenesis	GO Biological Processes	19	GO:0048514	-4.8	2	4.8	27994	707	823	42	5.1	0.77	861|1139|1306|1482|2255|2294|2321|2624|2626|3082|3213|3549|3848|4036|4313|4915|5168|5294|5629|6095|6850|7060|7101|7490|8291|9241|9353|9421|9464|10268|10481|11082|23493|26051|51176|51666|56999|60675|64094|79625|84700|84870	RUNX1|CHRNA7|15A1|NKX2-5|FGF10|FOXF1|FLT1|GATA2|GATA4|HGF|HOXB3|IHH|KRT1|LRP2|MMP2|NTRK2|ENPP2|PIK3CG|PROX1|RORA|SYK|THBS4|NR2E1|WT1|DYSF|NOG|SLIT2|HAND1|HAND2|RAMP3|HOXB13|ESM1|HEY2|PPP1R16B|LEF1|ASB4|ADAMTS9|PROK2|SMOC2|NDNF|MYO18B|RSPO3	-4	20
blood vessel morphogenesis	GO Biological Processes	19	GO:0048514	-2.2	1.7	2.8	27994	707	693	29	4.2	0.76	94|354|577|861|1003|1950|4638|5140|5587|5740|6095|6444|6997|7010|7046|9353|9734|10365|23414|51176|51548|54538|55576|56999|64094|79400|168667|221981|374887	ACVRL1|KLK3|ADGRB3|RUNX1|CDH5|EGF|MYLK|PDE3B|PRKD1|PTGIS|RORA|SGCD|TDGF1|TEK|TGFBR1|SLIT2|HDAC9|KLF2|ZFPM2|LEF1|SIRT6|ROBO4|STAB2|ADAMTS9|SMOC2|NOX5|BMPER|THSD7A|YJEFN3	-2	10
blood vessel morphogenesis	GO Biological Processes	19	GO:0048514	-2.4	1.7	3	27994	707	701	30	4.3	0.76	185|575|577|861|1139|1944|2028|2047|2335|2828|4192|4879|5740|6095|6356|6850|7122|7481|9037|9353|10000|10451|23129|23414|23554|51378|57125|57556|79400|80781	AGTR1|ADGRB1|ADGRB3|RUNX1|CHRNA7|EFNA3|ENPEP|EPHB1|FN1|GPR4|MDK|NPPB|PTGIS|RORA|CCL11|SYK|CLDN5|WNT11|SEMA5A|SLIT2|AKT3|VAV3|PLXND1|ZFPM2|TSPAN12|ANGPT4|PLXDC1|SEMA6A|NOX5|18A1	-2.1	11
cardiac ventricle morphogenesis	GO Biological Processes	19	GO:0003208	-2.4	3.5	3.6	27994	74	753	7	0.93	0.35	3084|4208|4625|4634|4889|6262|23414	NRG1|MEF2C|MYH7|MYL3|NPY5R|RYR2|ZFPM2	-2.1	18
cardiac ventricle morphogenesis	GO Biological Processes	19	GO:0003208	-2.5	3.6	3.7	27994	74	741	7	0.94	0.36	3084|3516|6262|7139|23414|27302|79977	NRG1|RBPJ|RYR2|TNNT2|ZFPM2|BMP10|GRHL2	-2.2	17
cardiac ventricle morphogenesis	GO Biological Processes	19	GO:0003208	-9.4	7.4	9.5	27994	74	823	16	1.9	0.48	1482|2294|2625|2626|3084|4036|4208|5457|5629|6262|6604|9241|9421|9464|23493|140706	NKX2-5|FOXF1|GATA3|GATA4|NRG1|LRP2|MEF2C|POU4F1|PROX1|RYR2|SMARCD3|NOG|HAND1|HAND2|HEY2|CCM2L	-8	20
cardiac ventricle morphogenesis	GO Biological Processes	19	GO:0003208	-4.5	4.9	5.7	27994	74	765	10	1.3	0.41	3670|4036|4208|4624|4625|6262|6423|6910|23414|57057	ISL1|LRP2|MEF2C|MYH6|MYH7|RYR2|SFRP2|TBX5|ZFPM2|TBX20	-3.7	19
cardiac ventricle morphogenesis	GO Biological Processes	19	GO:0003208	-2.4	3.5	3.6	27994	74	753	7	0.93	0.35	3084|4208|4625|4634|4889|6262|23414	NRG1|MEF2C|MYH7|MYL3|NPY5R|RYR2|ZFPM2	-2.1	18
cardiac ventricle morphogenesis	GO Biological Processes	19	GO:0003208	-2.5	3.6	3.7	27994	74	741	7	0.94	0.36	3084|3516|6262|7139|23414|27302|79977	NRG1|RBPJ|RYR2|TNNT2|ZFPM2|BMP10|GRHL2	-2.2	17
cardiac ventricle morphogenesis	GO Biological Processes	19	GO:0003208	-9.4	7.4	9.5	27994	74	823	16	1.9	0.48	1482|2294|2625|2626|3084|4036|4208|5457|5629|6262|6604|9241|9421|9464|23493|140706	NKX2-5|FOXF1|GATA3|GATA4|NRG1|LRP2|MEF2C|POU4F1|PROX1|RYR2|SMARCD3|NOG|HAND1|HAND2|HEY2|CCM2L	-8	20
cardiac ventricle morphogenesis	GO Biological Processes	19	GO:0003208	-4.5	4.9	5.7	27994	74	765	10	1.3	0.41	3670|4036|4208|4624|4625|6262|6423|6910|23414|57057	ISL1|LRP2|MEF2C|MYH6|MYH7|RYR2|SFRP2|TBX5|ZFPM2|TBX20	-3.7	19
cardiac ventricle development	GO Biological Processes	19	GO:0003231	-2.2	2.7	3.2	27994	131	701	9	1.3	0.43	3084|5138|6262|6331|7168|7481|9353|23414|57167	NRG1|PDE2A|RYR2|SCN5A|TPM1|WNT11|SLIT2|ZFPM2|SALL4	-2	11
cardiac ventricle development	GO Biological Processes	19	GO:0003231	-2.3	2.9	3.3	27994	131	674	9	1.3	0.44	3084|4036|6092|6262|6299|8928|9353|23414|129446	NRG1|LRP2|ROBO2|RYR2|SALL1|FOXH1|SLIT2|ZFPM2|XIRP2	-2.1	7
cardiac ventricle development	GO Biological Processes	19	GO:0003231	-2.6	2.9	3.6	27994	131	741	10	1.3	0.42	3084|3516|4846|6262|6586|7139|23414|27302|79977|129446	NRG1|RBPJ|NOS3|RYR2|SLIT3|TNNT2|ZFPM2|BMP10|GRHL2|XIRP2	-2.3	17
cardiac ventricle development	GO Biological Processes	19	GO:0003231	-2	2.6	3	27994	131	753	9	1.2	0.4	3084|4208|4625|4634|4889|5138|6262|6331|23414	NRG1|MEF2C|MYH7|MYL3|NPY5R|PDE2A|RYR2|SCN5A|ZFPM2	-1.9	18
cardiac ventricle development	GO Biological Processes	19	GO:0003231	-3.2	3.2	4.2	27994	131	724	11	1.5	0.45	652|3084|4052|4634|4887|6092|6586|6664|23414|53834|129446	BMP4|NRG1|LTBP1|MYL3|NPY2R|ROBO2|SLIT3|SOX11|ZFPM2|FGFRL1|XIRP2	-2.7	12
cardiac ventricle development	GO Biological Processes	19	GO:0003231	-6.2	4.5	6.7	27994	131	765	16	2.1	0.52	2702|3670|4036|4208|4624|4625|4846|5138|6262|6423|6910|9353|23414|57057|64220|129446	GJA5|ISL1|LRP2|MEF2C|MYH6|MYH7|NOS3|PDE2A|RYR2|SFRP2|TBX5|SLIT2|ZFPM2|TBX20|STRA6|XIRP2	-5.2	19
cardiac ventricle development	GO Biological Processes	19	GO:0003231	-7.2	4.7	7.3	27994	131	823	18	2.2	0.51	1482|2294|2625|2626|3084|4036|4208|5457|5629|6262|6586|6604|9241|9353|9421|9464|23493|140706	NKX2-5|FOXF1|GATA3|GATA4|NRG1|LRP2|MEF2C|POU4F1|PROX1|RYR2|SLIT3|SMARCD3|NOG|SLIT2|HAND1|HAND2|HEY2|CCM2L	-6	20
cardiac ventricle development	GO Biological Processes	19	GO:0003231	-2.1	2.6	3.1	27994	131	733	9	1.2	0.41	3398|4036|6092|6262|6331|6586|9353|23414|129446	ID2|LRP2|ROBO2|RYR2|SCN5A|SLIT3|SLIT2|ZFPM2|XIRP2	-1.9	13
Notch signaling pathway	GO Biological Processes	19	GO:0007219	-2.2	2.3	3.1	27994	195	741	12	1.6	0.46	655|2620|3516|4846|4856|6928|8788|51378|80852|92737|134701|375704	BMP7|GAS2|RBPJ|NOS3|CCN3|HNF1B|DLK1|ANGPT4|GRIP2|DNER|RIPPLY2|ENHO	-2	17
Notch signaling pathway	GO Biological Processes	19	GO:0007219	-3.6	2.8	4.4	27994	195	823	16	1.9	0.48	474|655|1004|1272|2255|2624|3175|3232|3559|3815|6662|23090|23493|51006|58158|140628	ATOH1|BMP7|CDH6|CNTN1|FGF10|GATA2|ONECUT1|HOXD3|IL2RA|KIT|SOX9|ZNF423|HEY2|SLC35C2|NEUROD4|GATA5	-3.1	20
Hippo signaling pathway	KEGG Pathway	24	ko04390	-2.5	2.6	3.4	27994	154	765	11	1.4	0.43	654|894|1740|2246|5521|7471|7480|7484|8324|51176|286204	BMP6|CCND2|DLG2|FGF1|PPP2R2B|WNT1|WNT10B|WNT9B|FZD7|LEF1|CRB2	-2.2	19
Hippo signaling pathway	KEGG Pathway	24	hsa04390	-3	2.7	3.8	27994	174	765	13	1.7	0.47	654|894|1740|2246|5521|7471|7480|7484|8324|9770|51176|54798|286204	BMP6|CCND2|DLG2|FGF1|PPP2R2B|WNT1|WNT10B|WNT9B|FZD7|RASSF2|LEF1|DCHS2|CRB2	-2.6	19
Hippo signaling pathway	KEGG Pathway	24	hsa04390	-3.1	2.8	4	27994	174	741	13	1.8	0.48	655|1740|2736|5521|7473|7475|7484|8642|9770|29119|54798|85407|89780	BMP7|DLG2|GLI2|PPP2R2B|WNT3|WNT6|WNT9B|DCHS1|RASSF2|CTNNA3|DCHS2|NKD1|WNT3A	-2.6	17
Hippo signaling pathway	KEGG Pathway	24	ko04390	-2.6	2.8	3.6	27994	154	724	11	1.5	0.45	652|655|1740|2736|5521|5522|7473|7479|7484|29119|85407	BMP4|BMP7|DLG2|GLI2|PPP2R2B|PPP2R2C|WNT3|WNT8B|WNT9B|CTNNA3|NKD1	-2.3	12
Hippo signaling pathway	KEGG Pathway	24	hsa04390	-3	2.7	3.5	24156	154	1097	16	1.5	0.36	174|654|655|894|1740|2246|4771|5521|5522|6788|7472|29119|51176|79981|85407|392255	AFP|BMP6|BMP7|CCND2|DLG2|FGF1|NF2|PPP2R2B|PPP2R2C|STK3|WNT2|CTNNA3|LEF1|FRMD1|NKD1|GDF6	-2.6	20
Hippo signaling pathway	KEGG Pathway	24	ko04390	-2.1	2.5	3	27994	154	741	10	1.3	0.42	655|1740|2736|5521|7473|7475|7484|29119|85407|89780	BMP7|DLG2|GLI2|PPP2R2B|WNT3|WNT6|WNT9B|CTNNA3|NKD1|WNT3A	-1.9	17
Hippo signaling pathway	KEGG Pathway	24	hsa04390	-2.7	2.7	3.6	27994	174	724	12	1.7	0.47	652|655|1740|2736|4355|5521|5522|7473|7479|7484|29119|85407	BMP4|BMP7|DLG2|GLI2|MPP2|PPP2R2B|PPP2R2C|WNT3|WNT8B|WNT9B|CTNNA3|NKD1	-2.3	12
Transcriptional misregulation in cancer	KEGG Pathway	24	hsa05202	-2	2.2	2.8	27994	204	753	12	1.6	0.46	861|862|1436|2078|2138|4208|4286|6495|8013|8290|8900|9079	RUNX1|RUNX1T1|CSF1R|ERG|EYA1|MEF2C|MITF|SIX1|NR4A3|H3-4|CCNA1|LDB2	-1.8	18
Transcriptional misregulation in cancer	KEGG Pathway	24	hsa05202	-6.1	3.5	6.2	27994	204	823	21	2.6	0.55	861|2078|2321|3195|3205|3206|3207|4005|4094|4208|4318|4353|5077|5079|5081|6258|7490|8842|9079|10912|54738	RUNX1|ERG|FLT1|TLX1|HOXA9|HOXA10|HOXA11|LMO2|MAF|MEF2C|MMP9|MPO|PAX3|PAX5|PAX7|RXRG|WT1|PROM1|LDB2|GADD45G|FEV	-5.1	20
Transcriptional misregulation in cancer	KEGG Pathway	24	ko05202	-5.8	3.6	6.1	27994	180	823	19	2.3	0.52	861|2078|2321|3195|3205|3206|3207|4005|4094|4208|4318|4353|5077|5079|5081|6258|7490|8842|54738	RUNX1|ERG|FLT1|TLX1|HOXA9|HOXA10|HOXA11|LMO2|MAF|MEF2C|MMP9|MPO|PAX3|PAX5|PAX7|RXRG|WT1|PROM1|FEV	-4.8	20
Pathways in cancer	KEGG Pathway	24	hsa05200	-4.6	2.2	3.1	24156	395	1023	29	2.8	0.52	107|114|185|652|861|1286|1950|2122|2251|2257|2258|2259|2260|2770|3908|5156|5468|5579|5733|5915|6257|7477|8817|10319|23236|26281|29119|51176|115727	ADCY1|ADCY8|AGTR1|BMP4|RUNX1|4A4|EGF|MECOM|FGF6|FGF12|FGF13|FGF14|FGFR1|GNAI1|LAMA2|PDGFRA|PPARG|PRKCB|PTGER3|RARB|RXRB|WNT7B|FGF18|LAMC3|PLCB1|FGF20|CTNNA3|LEF1|RASGRP4	-3.8	20
Pathways in cancer	KEGG Pathway	24	hsa05200	-3.6	2	4	27994	575	722	30	4.2	0.74	107|108|114|238|861|1910|1950|2257|2259|2322|2736|2770|2792|3568|3908|4436|4914|5579|5915|7481|7852|8817|10319|26508|29882|51384|51806|54567|81029|196883	ADCY1|ADCY2|ADCY8|ALK|RUNX1|EDNRB|EGF|FGF12|FGF14|FLT3|GLI2|GNAI1|GNGT1|IL5RA|LAMA2|MSH2|NTRK1|PRKCB|RARB|WNT11|CXCR4|FGF18|LAMC3|HEYL|ANAPC2|WNT16|CALML5|DLL4|WNT5B|ADCY4	-3	16
Pathways in cancer	KEGG Pathway	24	hsa05200	-2	1.7	2.7	27994	575	765	26	3.4	0.66	107|238|894|2099|2246|2255|2259|2770|2792|3908|4436|4914|5468|5915|6387|6469|7471|7480|7484|8074|8324|9138|10319|23236|51176|79444	ADCY1|ALK|CCND2|ESR1|FGF1|FGF10|FGF14|GNAI1|GNGT1|LAMA2|MSH2|NTRK1|PPARG|RARB|CXCL12|SHH|WNT1|WNT10B|WNT9B|FGF23|FZD7|ARHGEF1|LAMC3|PLCB1|LEF1|BIRC7	-1.9	19
Pathways in cancer	KEGG Pathway	24	hsa05200	-2.7	1.9	3.3	27994	575	642	25	3.9	0.76	189|238|861|2254|2255|2257|2258|2259|2264|2736|2956|3452|3479|3560|3568|3908|4286|5155|5336|5579|5915|7976|8823|9446|149233	AGXT|ALK|RUNX1|FGF9|FGF10|FGF12|FGF13|FGF14|FGFR4|GLI2|MSH6|IFNA21|IGF1|IL2RB|IL5RA|LAMA2|MITF|PDGFB|PLCG2|PRKCB|RARB|FZD3|FGF16|GSTO1|IL23R	-2.4	4
Pathways in cancer	KEGG Pathway	24	hsa05200	-2.1	1.7	2.7	27994	575	724	25	3.5	0.68	108|238|652|861|2257|2259|2322|2736|2770|3440|3442|3558|3574|3908|4436|5468|5579|5582|7473|7479|7484|10319|23236|26281|29119	ADCY2|ALK|BMP4|RUNX1|FGF12|FGF14|FLT3|GLI2|GNAI1|IFNA2|IFNA5|IL2|IL7|LAMA2|MSH2|PPARG|PRKCB|PRKCG|WNT3|WNT8B|WNT9B|LAMC3|PLCB1|FGF20|CTNNA3	-1.9	12
Pathways in cancer	KEGG Pathway	24	hsa05200	-2.2	1.7	2.8	27994	575	670	24	3.6	0.72	108|596|861|1050|1285|2057|2099|2100|2252|2259|2792|2949|3593|3908|3910|5154|5336|5732|6688|7015|23236|51176|54331|283349	ADCY2|BCL2|RUNX1|CEBPA|4A3|EPOR|ESR1|ESR2|FGF7|FGF14|GNGT1|GSTM5|IL12B|LAMA2|LAMA4|PDGFA|PLCG2|PTGER2|SPI1|TERT|PLCB1|LEF1|GNG2|RASSF3	-2	3
Pathways in cancer	KEGG Pathway	24	hsa05200	-4.6	2.2	4.7	27994	575	701	32	4.6	0.79	108|111|185|596|861|2250|2257|2259|2335|2770|2792|2793|3479|3568|3818|3908|4286|4436|5336|5624|5733|7481|7482|8822|10000|10297|10319|23236|29119|80326|94235|112399	ADCY2|ADCY5|AGTR1|BCL2|RUNX1|FGF5|FGF12|FGF14|FN1|GNAI1|GNGT1|GNGT2|IGF1|IL5RA|KLKB1|LAMA2|MITF|MSH2|PLCG2|PROC|PTGER3|WNT11|WNT2B|FGF17|AKT3|APC2|LAMC3|PLCB1|CTNNA3|WNT10A|GNG8|EGLN3	-3.8	11
Pathways in cancer	KEGG Pathway	24	hsa05200	-3.6	2	4	27994	575	753	31	4.1	0.72	107|114|185|238|861|862|1436|1439|2248|2250|2255|2257|2259|2792|3481|3567|3595|3908|4286|5568|5579|5733|5915|5979|7472|7478|8288|8900|10125|23236|114112	ADCY1|ADCY8|AGTR1|ALK|RUNX1|RUNX1T1|CSF1R|CSF2RB|FGF3|FGF5|FGF10|FGF12|FGF14|GNGT1|IGF2|IL5|IL12RB2|LAMA2|MITF|PRKACG|PRKCB|PTGER3|RARB|RET|WNT2|WNT8A|EPX|CCNA1|RASGRP1|PLCB1|TXNRD3	-3.1	18
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-2.2	1.9	2.9	27994	380	741	19	2.6	0.58	1286|2251|2253|2257|2258|2668|3445|3676|3680|4846|4915|5156|5521|5649|6850|7450|8516|10000|51378	4A4|FGF6|FGF8|FGF12|FGF13|GDNF|IFNA8|ITGA4|ITGA9|NOS3|NTRK2|PDGFRA|PPP2R2B|RELN|SYK|VWF|ITGA8|AKT3|ANGPT4	-2	17
PI3K-Akt signaling pathway	KEGG Pathway	24	ko04151	-3.8	2.5	4.3	27994	342	701	21	3	0.64	596|1293|1944|2250|2257|2259|2335|2792|2793|2998|3479|3679|3908|6850|7148|8822|9586|10000|10319|51378|94235	BCL2|6A3|EFNA3|FGF5|FGF12|FGF14|FN1|GNGT1|GNGT2|GYS2|IGF1|ITGA7|LAMA2|SYK|TNXB|FGF17|CREB5|AKT3|LAMC3|ANGPT4|GNG8	-3.2	11
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-3.7	2.3	3.3	27994	380	823	22	2.7	0.56	1280|1297|2255|2259|2321|3082|3559|3815|4915|5105|5294|5521|5522|5618|5649|6850|7060|7143|9586|9863|22801|118788	2A1|9A1|FGF10|FGF14|FLT1|HGF|IL2RA|KIT|NTRK2|PCK1|PIK3CG|PPP2R2B|PPP2R2C|PRLR|RELN|SYK|THBS4|TNR|CREB5|MAGI2|ITGA11|PIK3AP1	-3.1	20
PI3K-Akt signaling pathway	KEGG Pathway	24	ko04151	-3.2	2.3	3.8	27994	342	724	20	2.8	0.61	1278|2257|2259|2321|3440|3442|3558|3574|3680|3908|5521|5522|5618|8115|8516|10319|11140|26281|146850|256076	1A2|FGF12|FGF14|FLT1|IFNA2|IFNA5|IL2|IL7|ITGA9|LAMA2|PPP2R2B|PPP2R2C|PRLR|TCL1A|ITGA8|LAMC3|CDC37|FGF20|PIK3R6|6A5	-2.7	12
PI3K-Akt signaling pathway	KEGG Pathway	24	ko04151	-2.9	2.1	3.6	27994	342	765	20	2.6	0.58	894|2246|2255|2259|2321|2792|3676|3680|3908|4804|4846|5521|5563|5618|5649|8074|10319|57818|63923|131873	CCND2|FGF1|FGF10|FGF14|FLT1|GNGT1|ITGA4|ITGA9|LAMA2|NGFR|NOS3|PPP2R2B|PRKAA2|PRLR|RELN|FGF23|LAMC3|G6PC2|TNN|6A6	-2.5	19
PI3K-Akt signaling pathway	KEGG Pathway	24	ko04151	-3.4	2.4	4.1	27994	342	642	19	3	0.67	2254|2255|2257|2258|2259|2264|2538|3371|3452|3479|3560|3908|4602|5155|5521|7148|8516|8823|118788	FGF9|FGF10|FGF12|FGF13|FGF14|FGFR4|G6PC|TNC|IFNA21|IGF1|IL2RB|LAMA2|MYB|PDGFB|PPP2R2B|TNXB|ITGA8|FGF16|PIK3AP1	-2.9	4
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-3.3	2.2	3.9	27994	380	733	22	3	0.63	1128|1950|2252|2257|2259|2260|2322|2324|2690|2792|3443|3560|3680|3908|5156|5521|8516|9586|9863|131873|146850|256076	CHRM1|EGF|FGF7|FGF12|FGF14|FGFR1|FLT3|FLT4|GHR|GNGT1|IFNA6|IL2RB|ITGA9|LAMA2|PDGFRA|PPP2R2B|ITGA8|CREB5|MAGI2|6A6|PIK3R6|6A5	-2.8	13
PI3K-Akt signaling pathway	KEGG Pathway	24	ko04151	-2.3	2	3	27994	342	741	18	2.4	0.57	1943|2249|2250|2257|2259|2786|2998|3560|3562|3680|5294|5521|7148|8516|9623|23533|51378|118788	EFNA2|FGF4|FGF5|FGF12|FGF14|GNG4|GYS2|IL2RB|IL3|ITGA9|PIK3CG|PPP2R2B|TNXB|ITGA8|TCL1B|PIK3R5|ANGPT4|PIK3AP1	-2.1	15
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-2.6	2.1	3.3	27994	380	674	19	2.8	0.64	596|1285|1298|2066|2257|2258|2259|2788|3456|3676|3695|3908|5578|7450|8516|9223|9863|118788|146850	BCL2|4A3|9A2|ERBB4|FGF12|FGF13|FGF14|GNG7|IFNB1|ITGA4|ITGB7|LAMA2|PRKCA|VWF|ITGA8|MAGI1|MAGI2|PIK3AP1|PIK3R6	-2.3	7
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-3.2	2.2	3.8	27994	380	701	21	3	0.64	596|1293|1944|2250|2257|2259|2335|2792|2793|2998|3479|3679|3908|6850|7148|8822|9586|10000|10319|51378|94235	BCL2|6A3|EFNA3|FGF5|FGF12|FGF14|FN1|GNGT1|GNGT2|GYS2|IGF1|ITGA7|LAMA2|SYK|TNXB|FGF17|CREB5|AKT3|LAMC3|ANGPT4|GNG8	-2.7	11
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-3.8	2.3	4.3	27994	380	765	24	3.1	0.63	627|894|2246|2255|2259|2321|2792|3676|3680|3908|4804|4846|4914|4915|5521|5563|5618|5649|8074|9863|10319|57818|63923|131873	BDNF|CCND2|FGF1|FGF10|FGF14|FLT1|GNGT1|ITGA4|ITGA9|LAMA2|NGFR|NOS3|NTRK1|NTRK2|PPP2R2B|PRKAA2|PRLR|RELN|FGF23|MAGI2|LAMC3|G6PC2|TNN|6A6	-3.2	19
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-4.1	2.5	4.6	27994	380	642	22	3.4	0.72	2066|2254|2255|2257|2258|2259|2264|2538|3371|3452|3479|3560|3908|4602|4915|5155|5521|7148|8516|8823|9863|118788	ERBB4|FGF9|FGF10|FGF12|FGF13|FGF14|FGFR4|G6PC|TNC|IFNA21|IGF1|IL2RB|LAMA2|MYB|NTRK2|PDGFB|PPP2R2B|TNXB|ITGA8|FGF16|MAGI2|PIK3AP1	-3.4	4
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-2.7	2.1	3.3	27994	380	670	19	2.8	0.64	596|1285|2057|2252|2259|2792|3371|3908|3910|5154|5527|7010|7058|8516|9223|9863|23533|54331|256076	BCL2|4A3|EPOR|FGF7|FGF14|GNGT1|TNC|LAMA2|LAMA4|PDGFA|PPP2R5C|TEK|THBS2|ITGA8|MAGI1|MAGI2|PIK3R5|GNG2|6A5	-2.3	3
PI3K-Akt signaling pathway	KEGG Pathway	24	hsa04151	-2.8	2.2	3.5	27994	380	648	19	2.9	0.66	1101|1129|1286|1293|2066|2252|2259|2690|2786|3560|3680|3908|7010|9223|9863|26281|80310|146850|342977	CHAD|CHRM2|4A4|6A3|ERBB4|FGF7|FGF14|GHR|GNG4|IL2RB|ITGA9|LAMA2|TEK|MAGI1|MAGI2|FGF20|PDGFD|PIK3R6|NANOS3	-2.4	6
