Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
KEGG Pathway,24,hsa04912,GnRH signaling pathway,,-3.5,4.2,4.7,27994,98,618,9,1.5,0.48,107|108|114|775|776|810|815|2185|8605,ADCY1|ADCY2|ADCY8|CACNA1C|CACNA1D|CALML3|CAMK2A|PTK2B|PLA2G4C,-2.7,13
GO Biological Processes,19,GO:0010942,positive regulation of cell death,19_GO:0048518 positive regulation of biological process,-3.5,1.9,3.9,27994,749,618,32,5.2,0.89,467|596|652|655|815|843|1495|1612|2822|3273|3593|4760|4916|5063|5625|6196|6850|7021|7074|8313|8739|8997|9459|9705|10439|22925|23229|50486|51741|91662|112399|338442,ATF3|BCL2|BMP4|BMP7|CAMK2A|CASP10|CTNNA1|DAPK1|GPLD1|HRG|IL12B|NEUROD1|NTRK3|PAK3|PRODH|RPS6KA2|SYK|TFAP2B|TIAM1|AXIN2|HRK|KALRN|ARHGEF6|ST18|OLFM1|PLA2R1|ARHGEF9|G0S2|WWOX|NLRP12|EGLN3|HCAR2,-2.7,13
Canonical Pathways,11,M5885,NABA MATRISOME ASSOCIATED,,-3.5,1.9,3.9,27994,751,618,32,5.2,0.89,652|654|655|1472|1475|2239|2258|2719|3026|3273|3445|3593|4586|5268|5646|6439|7173|7476|10855|25975|55997|57188|57556|79148|84171|94031|112399|140862|140880|145264|170591|653275,BMP4|BMP6|BMP7|CST4|CSTA|GPC4|FGF13|GPC3|HABP2|HRG|IFNA8|IL12B|MUC5AC|SERPINB5|PRSS3|SFTPB|TPO|WNT7A|HPSE|EGFL6|CFC1|ADAMTSL3|SEMA6A|MMP28|LOXL4|HTRA3|EGLN3|ISM1|CST11|SERPINA12|S100Z|CFC1B,-2.7,13
GO Biological Processes,19,GO:0043065,positive regulation of apoptotic process,19_GO:0048518 positive regulation of biological process,-3.5,2,3.9,27994,687,618,30,4.9,0.86,467|596|652|655|815|843|1495|1612|2822|3273|3593|4760|4916|5063|6196|6850|7021|7074|8739|8997|9459|9705|10439|22925|23229|50486|51741|91662|112399|338442,ATF3|BCL2|BMP4|BMP7|CAMK2A|CASP10|CTNNA1|DAPK1|GPLD1|HRG|IL12B|NEUROD1|NTRK3|PAK3|RPS6KA2|SYK|TFAP2B|TIAM1|HRK|KALRN|ARHGEF6|ST18|OLFM1|PLA2R1|ARHGEF9|G0S2|WWOX|NLRP12|EGLN3|HCAR2,-2.7,13
GO Biological Processes,19,GO:0055065,metal ion homeostasis,19_GO:0065007 biological regulation,-3.4,2,3.9,27994,657,618,29,4.7,0.85,114|116|491|596|654|728|775|776|794|2185|2856|2890|4308|5026|5733|6263|6547|6869|7021|7224|9472|10699|10874|23566|55532|57113|57338|169026|205251,ADCY8|ADCYAP1|ATP2B2|BCL2|BMP6|C5AR1|CACNA1C|CACNA1D|CALB2|PTK2B|GPR33|GRIA1|TRPM1|P2RX5|PTGER3|RYR3|SLC8A3|TACR1|TFAP2B|TRPC5|AKAP6|CORIN|NMU|LPAR3|SLC30A10|TRPC7|JPH3|SLC30A8|MTLN,-2.7,13
GO Biological Processes,19,GO:0098916,anterograde trans-synaptic signaling,19_GO:0023052 signaling,-3.4,1.9,3.8,27994,724,618,31,5,0.88,40|107|114|116|776|777|794|815|1145|1959|2185|2890|2900|3360|3363|4155|5026|6547|7476|8224|8292|9211|10874|22941|22987|23566|29767|57338|58512|114088|149111,ASIC2|ADCY1|ADCY8|ADCYAP1|CACNA1D|CACNA1E|CALB2|CAMK2A|CHRNE|EGR2|PTK2B|GRIA1|GRIK4|HTR4|HTR7|MBP|P2RX5|SLC8A3|WNT7A|SYN3|Q|LGI1|NMU|SHANK2|SV2C|LPAR3|TMOD2|JPH3|DLGAP3|TRIM9|CNIH3,-2.7,13
GO Biological Processes,19,GO:0007268,chemical synaptic transmission,19_GO:0023052 signaling,-3.4,1.9,3.8,27994,724,618,31,5,0.88,40|107|114|116|776|777|794|815|1145|1959|2185|2890|2900|3360|3363|4155|5026|6547|7476|8224|8292|9211|10874|22941|22987|23566|29767|57338|58512|114088|149111,ASIC2|ADCY1|ADCY8|ADCYAP1|CACNA1D|CACNA1E|CALB2|CAMK2A|CHRNE|EGR2|PTK2B|GRIA1|GRIK4|HTR4|HTR7|MBP|P2RX5|SLC8A3|WNT7A|SYN3|Q|LGI1|NMU|SHANK2|SV2C|LPAR3|TMOD2|JPH3|DLGAP3|TRIM9|CNIH3,-2.7,13
GO Biological Processes,19,GO:0007215,glutamate receptor signaling pathway,19_GO:0023052 signaling,-3.4,4,4.6,27994,101,618,9,1.5,0.48,1612|2185|2890|2900|4308|7074|22941|146395|149111,DAPK1|PTK2B|GRIA1|GRIK4|TRPM1|TIAM1|SHANK2|GSG1L|CNIH3,-2.6,13
KEGG Pathway,24,hsa04925,aldosterone synthesis and secretion,,-3.4,4,4.6,27994,102,618,9,1.5,0.48,107|108|114|491|775|776|810|815|8912,ADCY1|ADCY2|ADCY8|ATP2B2|CACNA1C|CACNA1D|CALML3|CAMK2A|CACNA1H,-2.6,13
GO Biological Processes,19,GO:0043068,positive regulation of programmed cell death,19_GO:0048518 positive regulation of biological process,-3.4,2,3.8,27994,696,618,30,4.9,0.86,467|596|652|655|815|843|1495|1612|2822|3273|3593|4760|4916|5063|6196|6850|7021|7074|8739|8997|9459|9705|10439|22925|23229|50486|51741|91662|112399|338442,ATF3|BCL2|BMP4|BMP7|CAMK2A|CASP10|CTNNA1|DAPK1|GPLD1|HRG|IL12B|NEUROD1|NTRK3|PAK3|RPS6KA2|SYK|TFAP2B|TIAM1|HRK|KALRN|ARHGEF6|ST18|OLFM1|PLA2R1|ARHGEF9|G0S2|WWOX|NLRP12|EGLN3|HCAR2,-2.6,13
GO Biological Processes,19,GO:0030003,cellular cation homeostasis,19_GO:0065007 biological regulation,-3.4,2,3.8,27994,664,618,29,4.7,0.85,114|116|491|596|654|728|775|776|794|2185|2856|2890|4308|5026|5733|6263|6547|6549|6869|7224|9472|10874|23566|55532|57113|57338|84679|169026|205251,ADCY8|ADCYAP1|ATP2B2|BCL2|BMP6|C5AR1|CACNA1C|CACNA1D|CALB2|PTK2B|GPR33|GRIA1|TRPM1|P2RX5|PTGER3|RYR3|SLC8A3|SLC9A2|TACR1|TRPC5|AKAP6|NMU|LPAR3|SLC30A10|TRPC7|JPH3|SLC9A7|SLC30A8|MTLN,-2.6,13
KEGG Pathway,24,hsa04934,cushing syndrome,,-3.4,3.2,4.3,27994,171,618,12,1.9,0.56,107|108|114|775|776|815|7476|8313|8622|8912|23746|51176,ADCY1|ADCY2|ADCY8|CACNA1C|CACNA1D|CAMK2A|WNT7A|AXIN2|PDE8B|CACNA1H|AIPL1|LEF1,-2.6,13
KEGG Pathway,24,hsa00350,Tyrosine metabolism,,-3.4,6,5.1,27994,45,618,6,0.97,0.39,222|4129|5409|6898|7173|127845,ALDH3B2|MAOB|PNMT|TAT|TPO|GOLT1A,-2.6,13
KEGG Pathway,24,ko04925,Aldosterone synthesis and secretion,,-3.3,4.4,4.7,27994,82,618,8,1.3,0.45,107|108|114|775|776|810|815|8912,ADCY1|ADCY2|ADCY8|CACNA1C|CACNA1D|CALML3|CAMK2A|CACNA1H,-2.6,13
GO Biological Processes,19,GO:1990138,neuron projection extension,19_GO:0040007 growth,-3.3,3.2,4.3,27994,172,618,12,1.9,0.56,1002|1808|4916|7074|7224|8239|9423|10439|23769|26053|57556|151835,CDH4|DPYSL2|NTRK3|TIAM1|TRPC5|USP9X|NTN1|OLFM1|FLRT1|AUTS2|SEMA6A|CPNE9,-2.6,13
GO Biological Processes,19,GO:0099537,trans-synaptic signaling,19_GO:0023052 signaling,-3.3,1.9,3.8,27994,732,618,31,5,0.88,40|107|114|116|776|777|794|815|1145|1959|2185|2890|2900|3360|3363|4155|5026|6547|7476|8224|8292|9211|10874|22941|22987|23566|29767|57338|58512|114088|149111,ASIC2|ADCY1|ADCY8|ADCYAP1|CACNA1D|CACNA1E|CALB2|CAMK2A|CHRNE|EGR2|PTK2B|GRIA1|GRIK4|HTR4|HTR7|MBP|P2RX5|SLC8A3|WNT7A|SYN3|Q|LGI1|NMU|SHANK2|SV2C|LPAR3|TMOD2|JPH3|DLGAP3|TRIM9|CNIH3,-2.6,13
GO Biological Processes,19,GO:0061337,cardiac conduction,19_GO:0023052 signaling,-3.3,3.3,4.3,27994,149,618,11,1.8,0.53,491|775|776|3753|3781|6263|6547|10699|55799|93589|349149,ATP2B2|CACNA1C|CACNA1D|KCNE1|KCNN2|RYR3|SLC8A3|CORIN|CACNA2D3|CACNA2D4|GJC3,-2.6,13
GO Biological Processes,19,GO:0001558,regulation of cell growth,19_GO:0040007 growth,-3.3,2.2,3.9,27994,423,618,21,3.4,0.73,596|1002|1808|2185|2203|2258|2786|3273|4633|4916|7224|8725|9211|9423|9472|10439|23105|23566|51176|57556|151835,BCL2|CDH4|DPYSL2|PTK2B|FBP1|FGF13|GNG4|HRG|MYL2|NTRK3|TRPC5|URI1|LGI1|NTN1|AKAP6|OLFM1|FSTL4|LPAR3|LEF1|SEMA6A|CPNE9,-2.6,13
GO Biological Processes,19,GO:0055080,cation homeostasis,19_GO:0065007 biological regulation,-3.3,1.9,3.7,27994,739,618,31,5,0.88,114|116|491|596|654|728|775|776|794|2185|2856|2890|4308|5026|5733|6263|6547|6549|6869|7021|7224|9472|10699|10874|23566|55532|57113|57338|84679|169026|205251,ADCY8|ADCYAP1|ATP2B2|BCL2|BMP6|C5AR1|CACNA1C|CACNA1D|CALB2|PTK2B|GPR33|GRIA1|TRPM1|P2RX5|PTGER3|RYR3|SLC8A3|SLC9A2|TACR1|TFAP2B|TRPC5|AKAP6|CORIN|NMU|LPAR3|SLC30A10|TRPC7|JPH3|SLC9A7|SLC30A8|MTLN,-2.6,13
GO Biological Processes,19,GO:0007140,male meiotic nuclear division,19_GO:0022414 reproductive process,-3.3,5.8,4.9,27994,47,618,6,0.97,0.39,56154|56155|56159|63946|84944|122402,TEX15|TEX14|TEX11|DMRTC2|MAEL|TDRD9,-2.5,13
GO Biological Processes,19,GO:0034199,activation of protein kinase A activity,19_GO:0048518 positive regulation of biological process,-3.2,10,5.8,27994,18,618,4,0.65,0.32,107|108|114|133619,ADCY1|ADCY2|ADCY8|PRRC1,-2.5,13
GO Biological Processes,19,GO:0010959,regulation of metal ion transport,19_GO:0051179 localization,-3.2,2.3,3.9,27994,396,618,20,3.2,0.71,116|596|775|776|815|2185|2258|2645|3753|3781|5026|6588|9472|9722|23072|23566|55532|57338|117532|219527,ADCYAP1|BCL2|CACNA1C|CACNA1D|CAMK2A|PTK2B|FGF13|GCK|KCNE1|KCNN2|P2RX5|SLN|AKAP6|NOS1AP|HECW1|LPAR3|SLC30A10|JPH3|TMC2|LRRC55,-2.5,13
GO Biological Processes,19,GO:0099536,synaptic signaling,19_GO:0023052 signaling,-3.2,1.9,3.7,27994,741,618,31,5,0.88,40|107|114|116|776|777|794|815|1145|1959|2185|2890|2900|3360|3363|4155|5026|6547|7476|8224|8292|9211|10874|22941|22987|23566|29767|57338|58512|114088|149111,ASIC2|ADCY1|ADCY8|ADCYAP1|CACNA1D|CACNA1E|CALB2|CAMK2A|CHRNE|EGR2|PTK2B|GRIA1|GRIK4|HTR4|HTR7|MBP|P2RX5|SLC8A3|WNT7A|SYN3|Q|LGI1|NMU|SHANK2|SV2C|LPAR3|TMOD2|JPH3|DLGAP3|TRIM9|CNIH3,-2.5,13
KEGG Pathway,24,ko04921,Oxytocin signaling pathway,,-3.2,3.3,4.2,27994,152,618,11,1.8,0.53,107|108|114|775|776|810|815|6263|8605|55799|93589,ADCY1|ADCY2|ADCY8|CACNA1C|CACNA1D|CALML3|CAMK2A|RYR3|PLA2G4C|CACNA2D3|CACNA2D4,-2.5,13
GO Biological Processes,19,GO:0007605,sensory perception of sound,19_GO:0032501 multicellular organismal process,-3.2,3.3,4.2,27994,152,618,11,1.8,0.53,40|491|776|3753|4155|54084|117532|125336|146183|349149|375612,ASIC2|ATP2B2|CACNA1D|KCNE1|MBP|TSPEAR|TMC2|LOXHD1|OTOA|GJC3|LHFPL3,-2.5,13
GO Biological Processes,19,GO:0002793,positive regulation of peptide secretion,19_GO:0048518 positive regulation of biological process,-3.2,2.8,4.1,27994,228,618,14,2.3,0.6,114|116|654|2645|2822|5004|5005|6850|9173|9501|10874|55691|169026|338442,ADCY8|ADCYAP1|BMP6|GCK|GPLD1|ORM1|ORM2|SYK|IL1RL1|RPH3AL|NMU|FRMD4A|SLC30A8|HCAR2,-2.5,13
GO Biological Processes,19,GO:0010769,regulation of cell morphogenesis involved in differentiation,19_GO:0032502 developmental process,-3.2,2.5,3.9,27994,310,618,17,2.8,0.66,1002|1808|2258|4916|5063|7074|7224|7476|8997|9423|10439|23072|23105|23303|23566|57556|57643,CDH4|DPYSL2|FGF13|NTRK3|PAK3|TIAM1|TRPC5|WNT7A|KALRN|NTN1|OLFM1|HECW1|FSTL4|KIF13B|LPAR3|SEMA6A|ZSWIM5,-2.5,13
GO Biological Processes,19,GO:0006873,cellular ion homeostasis,19_GO:0065007 biological regulation,-3.2,1.9,3.7,27994,677,618,29,4.7,0.85,114|116|491|596|654|728|775|776|794|2185|2856|2890|4308|5026|5733|6263|6547|6549|6869|7224|9472|10874|23566|55532|57113|57338|84679|169026|205251,ADCY8|ADCYAP1|ATP2B2|BCL2|BMP6|C5AR1|CACNA1C|CACNA1D|CALB2|PTK2B|GPR33|GRIA1|TRPM1|P2RX5|PTGER3|RYR3|SLC8A3|SLC9A2|TACR1|TRPC5|AKAP6|NMU|LPAR3|SLC30A10|TRPC7|JPH3|SLC9A7|SLC30A8|MTLN,-2.5,13
GO Biological Processes,19,GO:0043266,regulation of potassium ion transport,19_GO:0051179 localization,-3.2,3.8,4.4,27994,107,618,9,1.5,0.48,116|776|2185|2645|3753|3781|9472|9722|219527,ADCYAP1|CACNA1D|PTK2B|GCK|KCNE1|KCNN2|AKAP6|NOS1AP|LRRC55,-2.5,13
GO Biological Processes,19,GO:0051963,regulation of synapse assembly,19_GO:0032502 developmental process,-3.2,3.8,4.4,27994,107,618,9,1.5,0.48,40|2239|2596|4916|7476|8292|9423|79953|387804,ASIC2|GPC4|GAP43|NTRK3|WNT7A|Q|NTN1|SYNDIG1|VSTM5,-2.5,13
GO Biological Processes,19,GO:0015672,monovalent inorganic cation transport,19_GO:0051179 localization,-3.2,2.1,3.8,27994,551,618,25,4,0.79,40|116|776|2185|2258|2645|3753|3772|3781|6538|6547|6549|8647|8912|9472|9722|11280|23072|54207|64849|84679|84701|133060|148811|219527,ASIC2|ADCYAP1|CACNA1D|PTK2B|FGF13|GCK|KCNE1|KCNJ15|KCNN2|SLC6A11|SLC8A3|SLC9A2|ABCB11|CACNA1H|AKAP6|NOS1AP|SCN11A|HECW1|KCNK10|SLC13A3|SLC9A7|COX4I2|OTOP1|PM20D1|LRRC55,-2.5,13
GO Biological Processes,19,GO:0090087,regulation of peptide transport,19_GO:0051179 localization,-3.2,1.9,3.7,27994,679,618,29,4.7,0.85,114|116|652|654|775|776|777|2645|2822|3593|3753|4760|5004|5005|6850|6992|7021|7074|8997|9173|9501|9734|10411|10874|55691|57818|91662|169026|338442,ADCY8|ADCYAP1|BMP4|BMP6|CACNA1C|CACNA1D|CACNA1E|GCK|GPLD1|IL12B|KCNE1|NEUROD1|ORM1|ORM2|SYK|PPP1R11|TFAP2B|TIAM1|KALRN|IL1RL1|RPH3AL|HDAC9|RAPGEF3|NMU|FRMD4A|G6PC2|NLRP12|SLC30A8|HCAR2,-2.5,13
GO Biological Processes,19,GO:0003012,muscle system process,19_GO:0032501 multicellular organismal process,-3.2,2.2,3.8,27994,460,618,22,3.6,0.75,775|776|1145|2548|3363|3753|3781|4633|5733|6547|6588|6869|7074|7111|8082|8470|8557|8912|9472|9722|10874|29767,CACNA1C|CACNA1D|CHRNE|GAA|HTR7|KCNE1|KCNN2|MYL2|PTGER3|SLC8A3|SLN|TACR1|TIAM1|TMOD1|SSPN|SORBS2|TCAP|CACNA1H|AKAP6|NOS1AP|NMU|TMOD2,-2.5,13
GO Biological Processes,19,GO:0098771,inorganic ion homeostasis,19_GO:0065007 biological regulation,-3.2,1.9,3.6,27994,749,618,31,5,0.88,114|116|491|596|654|728|775|776|794|2185|2856|2890|4308|5026|5733|6263|6547|6549|6869|7021|7224|9472|10699|10874|23566|55532|57113|57338|84679|169026|205251,ADCY8|ADCYAP1|ATP2B2|BCL2|BMP6|C5AR1|CACNA1C|CACNA1D|CALB2|PTK2B|GPR33|GRIA1|TRPM1|P2RX5|PTGER3|RYR3|SLC8A3|SLC9A2|TACR1|TFAP2B|TRPC5|AKAP6|CORIN|NMU|LPAR3|SLC30A10|TRPC7|JPH3|SLC9A7|SLC30A8|MTLN,-2.5,13
GO Biological Processes,19,GO:0050808,synapse organization,19_GO:0071840 cellular component organization or biogenesis,-3.1,2.2,3.8,27994,433,618,21,3.4,0.73,40|728|2239|2258|2596|4916|5063|6547|7074|7476|8292|8997|9423|9722|22941|23114|54549|58512|79953|221935|387804,ASIC2|C5AR1|GPC4|FGF13|GAP43|NTRK3|PAK3|SLC8A3|TIAM1|WNT7A|Q|KALRN|NTN1|NOS1AP|SHANK2|NFASC|SDK2|DLGAP3|SYNDIG1|SDK1|VSTM5,-2.5,13
GO Biological Processes,19,GO:0042476,odontogenesis,19_GO:0032502 developmental process,-3.1,3.4,4.2,27994,132,618,10,1.6,0.51,652|655|1495|8313|9622|51066|51176|54084|54880|340419,BMP4|BMP7|CTNNA1|AXIN2|KLK4|SSUH2|LEF1|TSPEAR|BCOR|RSPO2,-2.5,13
Reactome Gene Sets,6,R-HSA-109582,Hemostasis,,-3.1,2,3.7,27994,621,618,27,4.4,0.82,491|1794|1795|2786|3273|3445|3687|3834|4072|5004|5005|5026|5890|6547|6850|7450|10184|10411|10603|11343|23303|23348|51807|55083|57113|120425|347688,ATP2B2|DOCK2|DOCK3|GNG4|HRG|IFNA8|ITGAX|KIF25|EPCAM|ORM1|ORM2|P2RX5|RAD51B|SLC8A3|SYK|VWF|LHFPL2|RAPGEF3|SH2B2|MGLL|KIF13B|DOCK9|TUBA8|KIF26B|TRPC7|JAML|TUBB8,-2.5,13
GO Biological Processes,19,GO:0050714,positive regulation of protein secretion,19_GO:0048518 positive regulation of biological process,-3.1,2.8,4,27994,207,618,13,2.1,0.58,114|654|2645|2822|5004|5005|6850|9173|9501|10874|55691|169026|338442,ADCY8|BMP6|GCK|GPLD1|ORM1|ORM2|SYK|IL1RL1|RPH3AL|NMU|FRMD4A|SLC30A8|HCAR2,-2.5,13
GO Biological Processes,19,GO:2001257,regulation of cation channel activity,19_GO:0051179 localization,-3.1,3,4,27994,182,618,12,1.9,0.56,1612|2185|2258|2890|3753|9472|9722|22941|57338|146395|149111|219527,DAPK1|PTK2B|FGF13|GRIA1|KCNE1|AKAP6|NOS1AP|SHANK2|JPH3|GSG1L|CNIH3|LRRC55,-2.5,13
GO Biological Processes,19,GO:0010718,positive regulation of epithelial to mesenchymal transition,19_GO:0048518 positive regulation of biological process,-3.1,5.4,4.7,27994,50,618,6,0.97,0.39,652|655|7074|8313|10439|51176,BMP4|BMP7|TIAM1|AXIN2|OLFM1|LEF1,-2.4,13
GO Biological Processes,19,GO:0007018,microtubule-based movement,19_GO:0009987 cellular process,-3.1,2.5,3.9,27994,290,618,16,2.6,0.64,1769|3834|8120|23303|55083|55112|55567|64518|83538|89876|92749|118491|127602|146279|146754|221421,DNAH8|KIF25|AP3B2|KIF13B|KIF26B|DYNC2I1|DNAH3|TEKT3|TTC25|CFAP91|DRC1|CFAP70|DNAH14|TEKT5|DNAH2|RSPH9,-2.4,13
KEGG Pathway,24,ko05414,Dilated cardiomyopathy,,-3.1,4,4.3,27994,90,618,8,1.3,0.45,107|108|114|775|776|4633|55799|93589,ADCY1|ADCY2|ADCY8|CACNA1C|CACNA1D|MYL2|CACNA2D3|CACNA2D4,-2.4,13
Reactome Gene Sets,6,R-HSA-163615,PKA activation,,-3.1,9.1,5.4,27994,20,618,4,0.65,0.32,107|108|114|26960,ADCY1|ADCY2|ADCY8|NBEA,-2.4,13
GO Biological Processes,19,GO:0032412,regulation of ion transmembrane transporter activity,19_GO:0051179 localization,-3.1,2.6,3.8,27994,265,618,15,2.4,0.62,776|1612|2185|2258|2890|3753|6588|9472|9722|22941|23072|57338|146395|149111|219527,CACNA1D|DAPK1|PTK2B|FGF13|GRIA1|KCNE1|SLN|AKAP6|NOS1AP|SHANK2|HECW1|JPH3|GSG1L|CNIH3|LRRC55,-2.4,13
Canonical Pathways,11,M3468,NABA ECM REGULATORS,,-3,2.7,3.9,27994,238,618,14,2.3,0.6,1472|1475|3026|3273|5268|5646|10855|57188|79148|84171|94031|112399|140880|145264,CST4|CSTA|HABP2|HRG|SERPINB5|PRSS3|HPSE|ADAMTSL3|MMP28|LOXL4|HTRA3|EGLN3|CST11|SERPINA12,-2.4,13
Reactome Gene Sets,6,R-HSA-446728,Cell junction organization,,-3,4,4.3,27994,91,618,8,1.3,0.45,1002|1495|3918|9071|9459|54549|57863|221935,CDH4|CTNNA1|LAMC2|CLDN10|ARHGEF6|SDK2|CADM3|SDK1,-2.4,13
KEGG Pathway,24,hsa04921,Oxytocin signaling pathway,,-3,3.1,4,27994,161,618,11,1.8,0.53,107|108|114|775|776|810|815|6263|8605|55799|93589,ADCY1|ADCY2|ADCY8|CACNA1C|CACNA1D|CALML3|CAMK2A|RYR3|PLA2G4C|CACNA2D3|CACNA2D4,-2.4,13
GO Biological Processes,19,GO:0048638,regulation of developmental growth,19_GO:0040007 growth,-3,2.3,3.7,27994,353,618,18,2.9,0.68,596|652|1002|1808|2258|4916|7224|8292|9423|9472|10439|23105|23566|51052|57556|79068|84944|151835,BCL2|BMP4|CDH4|DPYSL2|FGF13|NTRK3|TRPC5|Q|NTN1|AKAP6|OLFM1|FSTL4|LPAR3|PRLH|SEMA6A|FTO|MAEL|CPNE9,-2.4,13
KEGG Pathway,24,ko00350,Tyrosine metabolism,,-3,6.5,4.9,27994,35,618,5,0.81,0.36,222|4129|5409|6898|7173,ALDH3B2|MAOB|PNMT|TAT|TPO,-2.4,13
GO Biological Processes,19,GO:0110111,negative regulation of animal organ morphogenesis,19_GO:0048519 negative regulation of biological process,-3,6.5,4.9,27994,35,618,5,0.81,0.36,596|652|655|54880|340419,BCL2|BMP4|BMP7|BCOR|RSPO2,-2.4,13
GO Biological Processes,19,GO:0045839,negative regulation of mitotic nuclear division,19_GO:0048519 negative regulation of biological process,-3,5.2,4.6,27994,52,618,6,0.97,0.39,652|655|3834|8379|10744|56155,BMP4|BMP7|KIF25|MAD1L1|PTTG2|TEX14,-2.4,13
GO Biological Processes,19,GO:0010720,positive regulation of cell development,19_GO:0048518 positive regulation of biological process,-3,2,3.6,27994,570,618,25,4,0.79,116|474|596|652|654|655|1002|1959|2185|4760|4916|5063|7074|7224|8997|9423|9472|22941|23081|23566|50937|57556|151835|163404|285016,ADCYAP1|ATOH1|BCL2|BMP4|BMP6|BMP7|CDH4|EGR2|PTK2B|NEUROD1|NTRK3|PAK3|TIAM1|TRPC5|KALRN|NTN1|AKAP6|SHANK2|KDM4C|LPAR3|CDON|SEMA6A|CPNE9|PLPPR5|ALKAL2,-2.4,13
Reactome Gene Sets,6,R-HSA-442755,Activation of NMDA receptors and postsynaptic events,,-3,3.9,4.2,27994,93,618,8,1.3,0.45,107|114|815|2890|6196|26960|51807|347688,ADCY1|ADCY8|CAMK2A|GRIA1|RPS6KA2|NBEA|TUBA8|TUBB8,-2.4,13
KEGG Pathway,24,hsa04927,cortisol synthesis and secretion,,-2.9,4.3,4.3,27994,73,618,7,1.1,0.43,107|108|114|775|776|8622|8912,ADCY1|ADCY2|ADCY8|CACNA1C|CACNA1D|PDE8B|CACNA1H,-2.3,13
Reactome Gene Sets,6,R-HSA-170660,Adenylate cyclase activating pathway,,-2.9,14,6,27994,10,618,3,0.49,0.28,107|108|114,ADCY1|ADCY2|ADCY8,-2.3,13
GO Biological Processes,19,GO:0006171,cAMP biosynthetic process,19_GO:0008152 metabolic process,-2.9,14,6,27994,10,618,3,0.49,0.28,107|108|114,ADCY1|ADCY2|ADCY8,-2.3,13
Reactome Gene Sets,6,R-HSA-418890,Role of second messengers in netrin-1 signaling,,-2.9,14,6,27994,10,618,3,0.49,0.28,7224|9423|57113,TRPC5|NTN1|TRPC7,-2.3,13
GO Biological Processes,19,GO:0006936,muscle contraction,19_GO:0032501 multicellular organismal process,-2.9,2.3,3.6,27994,359,618,18,2.9,0.68,775|776|1145|2548|3363|3753|3781|4633|5733|6547|6869|7111|8082|8557|8912|9722|10874|29767,CACNA1C|CACNA1D|CHRNE|GAA|HTR7|KCNE1|KCNN2|MYL2|PTGER3|SLC8A3|TACR1|TMOD1|SSPN|TCAP|CACNA1H|NOS1AP|NMU|TMOD2,-2.3,13
GO Biological Processes,19,GO:0003091,renal water homeostasis,19_GO:0032501 multicellular organismal process,-2.9,6.1,4.7,27994,37,618,5,0.81,0.36,107|108|114|4645|7021,ADCY1|ADCY2|ADCY8|MYO5B|TFAP2B,-2.3,13
GO Biological Processes,19,GO:0035137,hindlimb morphogenesis,19_GO:0032502 developmental process,-2.9,6.1,4.7,27994,37,618,5,0.81,0.36,652|2719|7021|7476|340419,BMP4|GPC3|TFAP2B|WNT7A|RSPO2,-2.3,13
Reactome Gene Sets,6,R-HSA-111933,Calmodulin induced events,,-2.9,6.1,4.7,27994,37,618,5,0.81,0.36,107|108|114|815|26960,ADCY1|ADCY2|ADCY8|CAMK2A|NBEA,-2.3,13
Reactome Gene Sets,6,R-HSA-111997,CaM pathway,,-2.9,6.1,4.7,27994,37,618,5,0.81,0.36,107|108|114|815|26960,ADCY1|ADCY2|ADCY8|CAMK2A|NBEA,-2.3,13
GO Biological Processes,19,GO:0046058,cAMP metabolic process,19_GO:0008152 metabolic process,-2.9,8.2,5.1,27994,22,618,4,0.65,0.32,107|108|114|8622,ADCY1|ADCY2|ADCY8|PDE8B,-2.3,13
GO Biological Processes,19,GO:0052652,cyclic purine nucleotide metabolic process,19_GO:0008152 metabolic process,-2.9,8.2,5.1,27994,22,618,4,0.65,0.32,107|108|114|2986,ADCY1|ADCY2|ADCY8|GUCY2F,-2.3,13
Reactome Gene Sets,6,R-HSA-111931,PKA-mediated phosphorylation of CREB,,-2.9,8.2,5.1,27994,22,618,4,0.65,0.32,107|108|114|26960,ADCY1|ADCY2|ADCY8|NBEA,-2.3,13
GO Biological Processes,19,GO:0009190,cyclic nucleotide biosynthetic process,19_GO:0008152 metabolic process,-2.9,8.2,5.1,27994,22,618,4,0.65,0.32,107|108|114|2986,ADCY1|ADCY2|ADCY8|GUCY2F,-2.3,13
GO Biological Processes,19,GO:0016358,dendrite development,19_GO:0032502 developmental process,-2.9,2.6,3.7,27994,247,618,14,2.3,0.6,655|815|3918|5063|7074|7224|7476|8997|9423|22941|23072|23105|23769|221935,BMP7|CAMK2A|LAMC2|PAK3|TIAM1|TRPC5|WNT7A|KALRN|NTN1|SHANK2|HECW1|FSTL4|FLRT1|SDK1,-2.3,13
KEGG Pathway,24,hsa04726,Serotonergic synapse,,-2.9,3.4,4,27994,119,618,9,1.5,0.48,775|776|2786|3360|3363|3781|4129|8605|10411,CACNA1C|CACNA1D|GNG4|HTR4|HTR7|KCNN2|MAOB|PLA2G4C|RAPGEF3,-2.3,13
