Category,CategoryID,GO,Description,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Canonical Pathways,11,M3468,NABA ECM REGULATORS,-5.1,3.2,5.5,27994,238,693,19,2.7,0.62,2158|3699|3700|4314|5125|5272|9508|11096|56547|56999|60495|81792|92949|116179|140766|145264|170692|171019|343641,F9|ITIH3|ITIH4|MMP3|PCSK5|SERPINB9|ADAMTS3|ADAMTS5|MMP26|ADAMTS9|HPSE2|ADAMTS12|ADAMTSL1|TGM7|ADAMTS14|SERPINA12|ADAMTS18|ADAMTS19|TGM6,-4.2,10
GO Biological Processes,19,GO:0001508,action potential,-5.1,4.1,5.8,27994,138,693,14,2,0.53,287|775|776|2257|3751|3760|4544|4923|6326|6336|6546|9472|27345|29119,ANK2|CACNA1C|CACNA1D|FGF12|KCND2|KCNJ3|MTNR1B|NTSR1|SCN2A|SCN10A|SLC8A1|AKAP6|KCNMB4|CTNNA3,-4.2,10
GO Biological Processes,19,GO:0048667,cell morphogenesis involved in neuron differentiation,-5,2.3,5,27994,604,693,34,4.9,0.82,322|577|1600|1959|2675|3798|3908|4208|5588|5649|5789|6049|6092|6383|6586|7074|8633|9353|9369|9378|9839|9912|22871|22891|22941|26053|51761|53358|54538|55816|57520|80031|137970|221692,APBB1|ADGRB3|DAB1|EGR2|GFRA2|KIF5A|LAMA2|MEF2C|PRKCQ|RELN|PTPRD|RNF6|ROBO2|SDC2|SLIT3|TIAM1|UNC5C|SLIT2|NRXN3|NRXN1|ZEB2|ARHGAP44|NLGN1|ZNF365|SHANK2|AUTS2|ATP8A2|SHC3|ROBO4|DOK5|HECW2|SEMA6D|UNC5D|PHACTR1,-4.2,10
GO Biological Processes,19,GO:0007601,visual perception,-5,3.3,5.5,27994,218,693,18,2.6,0.6,1415|2986|4308|5146|5950|5957|6101|7399|9227|23746|25769|51761|53405|83872|84059|93145|140469|221391,CRYBB2|GUCY2F|TRPM1|PDE6C|RBP4|RCVRN|RP1|USH2A|LRAT|AIPL1|SLC24A2|ATP8A2|CLIC5|HMCN1|ADGRV1|OLFM2|MYO3B|OPN5,-4.2,10
GO Biological Processes,19,GO:0007423,sensory organ development,-5,2.3,5.1,27994,578,693,33,4.8,0.81,29|94|775|1415|2561|4286|4308|4544|5146|5950|6101|6656|7046|7111|7399|8549|8736|9132|9839|10461|51176|51761|54549|54796|84059|84465|91851|93986|140469|168667|170692|221391|221935,ABR|ACVRL1|CACNA1C|CRYBB2|GABRB2|MITF|TRPM1|MTNR1B|PDE6C|RBP4|RP1|SOX1|TGFBR1|TMOD1|USH2A|LGR5|MYOM1|KCNQ4|ZEB2|MERTK|LEF1|ATP8A2|SDK2|BNC2|ADGRV1|MEGF11|CHRDL1|FOXP2|MYO3B|BMPER|ADAMTS18|OPN5|SDK1,-4.2,10
Reactome Gene Sets,6,R-HSA-422475,Axon guidance,-5,2.3,5.1,27994,552,693,32,4.6,0.8,287|775|776|785|1272|1293|1299|1463|1600|1741|1809|2675|4753|5217|5588|5649|6092|6196|6326|6336|6383|6586|7074|8633|9353|53358|55816|57144|80031|84448|137970|256076,ANK2|CACNA1C|CACNA1D|CACNB4|CNTN1|6A3|9A3|NCAN|DAB1|DLG3|DPYSL3|GFRA2|NELL2|PFN2|PRKCQ|RELN|ROBO2|RPS6KA2|SCN2A|SCN10A|SDC2|SLIT3|TIAM1|UNC5C|SLIT2|SHC3|DOK5|PAK5|SEMA6D|ABLIM2|UNC5D|6A5,-4.2,10
GO Biological Processes,19,GO:2001259,positive regulation of cation channel activity,-5,5.7,6.3,27994,71,693,10,1.4,0.45,287|2259|3747|4923|5336|5649|6769|9001|9472|10345,ANK2|FGF14|KCNC2|NTSR1|PLCG2|RELN|STAC|HAP1|AKAP6|TRDN,-4.2,10
Reactome Gene Sets,6,R-HSA-5576891,Cardiac conduction,-5,4.1,5.8,27994,139,693,14,2,0.53,775|776|785|2257|2259|3751|6263|6326|6336|6546|10345|30820|55799|80333,CACNA1C|CACNA1D|CACNB4|FGF12|FGF14|KCND2|RYR3|SCN2A|SCN10A|SLC8A1|TRDN|KCNIP1|CACNA2D3|KCNIP4,-4.2,10
GO Biological Processes,19,GO:0006814,sodium ion transport,-5,3.2,5.4,27994,241,693,19,2.7,0.62,40|1272|2257|2259|6326|6336|6523|6524|6546|8671|25769|29850|57419|57520|64849|125206|142680|284111|286183,ASIC2|CNTN1|FGF12|FGF14|SCN2A|SCN10A|SLC5A1|SLC5A2|SLC8A1|SLC4A4|SLC24A2|TRPM5|SLC24A3|HECW2|SLC13A3|SLC5A10|SLC34A3|SLC13A5|NKAIN3,-4.2,10
GO Biological Processes,19,GO:0086065,cell communication involved in cardiac conduction,-5,6.4,6.5,27994,57,693,9,1.3,0.43,287|775|776|3760|6336|6546|10345|29119|51086,ANK2|CACNA1C|CACNA1D|KCNJ3|SCN10A|SLC8A1|TRDN|CTNNA3|TNNI3K,-4.2,10
GO Biological Processes,19,GO:0007626,locomotory behavior,-5,3.5,5.5,27994,199,693,17,2.5,0.59,320|460|463|774|1600|2257|3751|4923|5071|5649|6414|7111|23284|57144|93145|124925|257194,APBA1|ASTN1|ZFHX3|CACNA1B|DAB1|FGF12|KCND2|NTSR1|PRKN|RELN|SELENOP|TMOD1|ADGRL3|PAK5|OLFM2|SEZ6|NEGR1,-4.1,10
GO Biological Processes,19,GO:0051928,positive regulation of calcium ion transport,-5,4.3,5.8,27994,122,693,13,1.9,0.52,287|776|2259|4638|4923|5336|6769|9001|9472|10345|57214|90070|387129,ANK2|CACNA1D|FGF14|MYLK|NTSR1|PLCG2|STAC|HAP1|AKAP6|TRDN|CEMIP|LACRT|NPSR1,-4.1,10
Reactome Gene Sets,6,R-HSA-5576892,Phase 0 - rapid depolarisation,-5,7.3,6.7,27994,44,693,8,1.2,0.41,775|776|785|2257|2259|6326|6336|55799,CACNA1C|CACNA1D|CACNB4|FGF12|FGF14|SCN2A|SCN10A|CACNA2D3,-4.1,10
GO Biological Processes,19,GO:0009581,detection of external stimulus,-4.9,4,5.7,27994,141,693,14,2,0.53,40|2986|4923|5146|5957|6101|23746|51761|55107|63895|63982|79823|84059|221391,ASIC2|GUCY2F|NTSR1|PDE6C|RCVRN|RP1|AIPL1|ATP8A2|ANO1|PIEZO2|ANO3|CAMKMT|ADGRV1|OPN5,-4.1,10
GO Biological Processes,19,GO:0050953,sensory perception of light stimulus,-4.9,3.3,5.4,27994,222,693,18,2.6,0.6,1415|2986|4308|5146|5950|5957|6101|7399|9227|23746|25769|51761|53405|83872|84059|93145|140469|221391,CRYBB2|GUCY2F|TRPM1|PDE6C|RBP4|RCVRN|RP1|USH2A|LRAT|AIPL1|SLC24A2|ATP8A2|CLIC5|HMCN1|ADGRV1|OLFM2|MYO3B|OPN5,-4.1,10
Reactome Gene Sets,6,R-HSA-392154,Nitric oxide stimulates guanylate cyclase,-4.9,11,7.5,27994,22,693,6,0.87,0.35,2977|2982|3778|5593|10846|27345,GUCY1A2|GUCY1A1|KCNMA1|PRKG2|PDE10A|KCNMB4,-4.1,10
KEGG Pathway,24,hsa04921,Oxytocin signaling pathway,-4.9,3.8,5.6,27994,161,693,15,2.2,0.55,775|776|785|952|2770|2977|2982|3760|3763|4208|4638|6263|23236|55799|57118,CACNA1C|CACNA1D|CACNB4|CD38|GNAI1|GUCY1A2|GUCY1A1|KCNJ3|KCNJ6|MEF2C|MYLK|RYR3|PLCB1|CACNA2D3|CAMK1D,-4.1,10
KEGG Pathway,24,hsa04924,Renin secretion,-4.9,5.5,6.2,27994,73,693,10,1.4,0.45,775|776|2770|2977|2982|3778|5137|5140|5593|23236,CACNA1C|CACNA1D|GNAI1|GUCY1A2|GUCY1A1|KCNMA1|PDE1C|PDE3B|PRKG2|PLCB1,-4.1,10
GO Biological Processes,19,GO:0046928,regulation of neurotransmitter secretion,-4.9,4.6,5.9,27994,106,693,12,1.7,0.5,320|776|2901|4208|5071|5217|9515|9699|22871|27345|79772|116443,APBA1|CACNA1D|GRIK5|MEF2C|PRKN|PFN2|STXBP5L|RIMS2|NLGN1|KCNMB4|MCTP1|GRIN3A,-4.1,10
GO Biological Processes,19,GO:0051963,regulation of synapse assembly,-4.9,4.5,5.8,27994,107,693,12,1.7,0.5,40|577|2239|2895|4208|5789|6092|9378|22871|23284|158038|347731,ASIC2|ADGRB3|GPC4|GRID2|MEF2C|PTPRD|ROBO2|NRXN1|NLGN1|ADGRL3|LINGO2|LRRTM3,-4,10
GO Biological Processes,19,GO:0016358,dendrite development,-4.8,3.1,5.3,27994,247,693,19,2.7,0.62,577|1600|4208|5649|5789|6383|7074|9912|22871|22891|22941|23426|57118|57520|57580|116443|124925|221692|221935,ADGRB3|DAB1|MEF2C|RELN|PTPRD|SDC2|TIAM1|ARHGAP44|NLGN1|ZNF365|SHANK2|GRIP1|CAMK1D|HECW2|PREX1|GRIN3A|SEZ6|PHACTR1|SDK1,-4,10
GO Biological Processes,19,GO:0061364,apoptotic process involved in luteolysis,-4.8,40,11,27994,3,693,3,0.43,0.25,6092|6586|9353,ROBO2|SLIT3|SLIT2,-4,10
KEGG Pathway,24,ko04080,Neuroactive ligand-receptor interaction,-4.7,2.9,5.1,27994,277,693,20,2.9,0.64,140|147|1903|1910|2559|2561|2742|2893|2895|2901|2903|2913|4544|4923|6752|6869|8484|9287|116443|165829,ADORA3|ADRA1B|S1PR3|EDNRB|GABRA6|GABRB2|GLRA2|GRIA4|GRID2|GRIK5|GRIN2A|GRM3|MTNR1B|NTSR1|SSTR2|TACR1|GALR3|TAAR2|GRIN3A|GPR156,-3.9,10
GO Biological Processes,19,GO:0010817,regulation of hormone levels,-4.7,2.3,4.8,27994,550,693,31,4.5,0.79,775|776|952|1080|1393|2099|2304|3589|3747|3790|4544|5071|5125|5950|6716|6928|7074|7173|8447|9227|9501|9515|9699|9971|27344|54905|55107|56605|117247|195814|338557,CACNA1C|CACNA1D|CD38|CFTR|CRHBP|ESR1|FOXE1|IL11|KCNC2|KCNS3|MTNR1B|PRKN|PCSK5|RBP4|SRD5A2|HNF1B|TIAM1|TPO|DOC2B|LRAT|RPH3AL|STXBP5L|RIMS2|NR1H4|PCSK1N|CYP2W1|ANO1|ERO1B|SLC16A10|SDR16C5|FFAR4,-3.9,10
GO Biological Processes,19,GO:0060627,regulation of vesicle-mediated transport,-4.7,2.3,4.8,27994,550,693,31,4.5,0.79,29|320|776|1080|1794|1950|2901|5071|5217|5336|5587|5795|6401|6457|8447|9001|9501|9515|9699|9863|9912|10461|22871|57118|65009|79643|79772|93664|114088|116443|146395,ABR|APBA1|CACNA1D|CFTR|DOCK2|EGF|GRIK5|PRKN|PFN2|PLCG2|PRKD1|PTPRJ|SELE|SH3GL3|DOC2B|HAP1|RPH3AL|STXBP5L|RIMS2|MAGI2|ARHGAP44|MERTK|NLGN1|CAMK1D|NDRG4|CHMP6|MCTP1|CADPS2|TRIM9|GRIN3A|GSG1L,-3.9,10
GO Biological Processes,19,GO:0006821,chloride transport,-4.7,4.3,5.6,27994,112,693,12,1.7,0.5,766|1080|2559|2561|2742|5593|6521|6523|53405|55107|63982|116369,CA7|CFTR|GABRA6|GABRB2|GLRA2|PRKG2|SLC4A1|SLC5A1|CLIC5|ANO1|ANO3|SLC26A8,-3.9,10
GO Biological Processes,19,GO:0030198,extracellular matrix organization,-4.6,2.5,4.9,27994,397,693,25,3.6,0.71,1293|1299|1302|1361|1463|3681|3817|3908|4314|7046|7373|9508|11096|56547|56605|56999|60495|64094|81792|91522|92949|140766|170692|171019|105378220,6A3|9A3|11A2|CPB2|NCAN|ITGAD|KLK2|LAMA2|MMP3|TGFBR1|14A1|ADAMTS3|ADAMTS5|MMP26|ERO1B|ADAMTS9|HPSE2|SMOC2|ADAMTS12|23A1|ADAMTSL1|ADAMTS14|ADAMTS18|ADAMTS19|MAR,-3.9,10
GO Biological Processes,19,GO:0035418,protein localization to synapse,-4.6,5.8,6,27994,63,693,9,1.3,0.43,40|1740|2239|2903|3798|9378|9912|22871|23426,ASIC2|DLG2|GPC4|GRIN2A|KIF5A|NRXN1|ARHGAP44|NLGN1|GRIP1,-3.9,10
GO Biological Processes,19,GO:0050931,pigment cell differentiation,-4.6,7.9,6.6,27994,36,693,7,1,0.38,1910|4208|4286|5167|9839|56999|83938,EDNRB|MEF2C|MITF|ENPP1|ZEB2|ADAMTS9|LRMDA,-3.8,10
GO Biological Processes,19,GO:0030073,insulin secretion,-4.6,3.2,5.2,27994,213,693,17,2.5,0.59,775|776|952|1080|3747|3790|4544|5071|5950|6928|7074|8447|9501|9515|9699|9971|55107,CACNA1C|CACNA1D|CD38|CFTR|KCNC2|KCNS3|MTNR1B|PRKN|RBP4|HNF1B|TIAM1|DOC2B|RPH3AL|STXBP5L|RIMS2|NR1H4|ANO1,-3.8,10
GO Biological Processes,19,GO:0090276,regulation of peptide hormone secretion,-4.6,3.2,5.2,27994,213,693,17,2.5,0.59,775|776|952|1080|1393|3747|3790|4544|5071|5950|7074|8447|9501|9515|9971|55107|338557,CACNA1C|CACNA1D|CD38|CFTR|CRHBP|KCNC2|KCNS3|MTNR1B|PRKN|RBP4|TIAM1|DOC2B|RPH3AL|STXBP5L|NR1H4|ANO1|FFAR4,-3.8,10
GO Biological Processes,19,GO:0035249,"synaptic transmission, glutamatergic",-4.6,4.6,5.7,27994,96,693,11,1.6,0.47,1006|2895|2901|2913|4208|5071|5649|9378|22871|22941|53358,CDH8|GRID2|GRIK5|GRM3|MEF2C|PRKN|RELN|NRXN1|NLGN1|SHANK2|SHC3,-3.8,10
GO Biological Processes,19,GO:0006836,neurotransmitter transport,-4.6,2.9,5,27994,282,693,20,2.9,0.64,320|774|776|2901|4208|4923|5071|5217|6854|8447|9378|9515|9699|9751|22871|27345|79772|93664|114088|116443,APBA1|CACNA1B|CACNA1D|GRIK5|MEF2C|NTSR1|PRKN|PFN2|SYN2|DOC2B|NRXN1|STXBP5L|RIMS2|SNPH|NLGN1|KCNMB4|MCTP1|CADPS2|TRIM9|GRIN3A,-3.8,10
GO Biological Processes,19,GO:0006937,regulation of muscle contraction,-4.5,3.5,5.3,27994,173,693,15,2.2,0.55,147|287|775|2982|3778|5142|6336|6546|6752|6869|9312|29119|51086|51130|51196,ADRA1B|ANK2|CACNA1C|GUCY1A1|KCNMA1|PDE4B|SCN10A|SLC8A1|SSTR2|TACR1|KCNB2|CTNNA3|TNNI3K|ASB3|PLCE1,-3.8,10
KEGG Pathway,24,hsa04725,Cholinergic synapse,-4.5,4.2,5.5,27994,115,693,12,1.7,0.5,774|775|776|2770|2788|3760|3763|9132|9586|23236|51764|84699,CACNA1B|CACNA1C|CACNA1D|GNAI1|GNG7|KCNJ3|KCNJ6|KCNQ4|CREB5|PLCB1|GNG13|CREB3L3,-3.8,10
GO Biological Processes,19,GO:0035725,sodium ion transmembrane transport,-4.5,3.5,5.2,27994,174,693,15,2.2,0.55,40|2257|2259|6326|6336|6523|6524|6546|8671|25769|29850|57419|57520|125206|142680,ASIC2|FGF12|FGF14|SCN2A|SCN10A|SLC5A1|SLC5A2|SLC8A1|SLC4A4|SLC24A2|TRPM5|SLC24A3|HECW2|SLC5A10|SLC34A3,-3.8,10
GO Biological Processes,19,GO:0031646,positive regulation of neurological system process,-4.5,5.6,5.9,27994,65,693,9,1.3,0.43,1959|4544|4923|5649|9378|9699|22871|22941|152404,EGR2|MTNR1B|NTSR1|RELN|NRXN1|RIMS2|NLGN1|SHANK2|IGSF11,-3.8,10
GO Biological Processes,19,GO:0043270,positive regulation of ion transport,-4.5,2.8,5,27994,284,693,20,2.9,0.64,287|776|1080|1272|2257|2259|3747|4638|4923|5336|5649|6769|9001|9472|10345|10396|51761|57214|90070|387129,ANK2|CACNA1D|CFTR|CNTN1|FGF12|FGF14|KCNC2|MYLK|NTSR1|PLCG2|RELN|STAC|HAP1|AKAP6|TRDN|ATP8A1|ATP8A2|CEMIP|LACRT|NPSR1,-3.8,10
GO Biological Processes,19,GO:0003018,vascular process in circulatory system,-4.5,3.5,5.2,27994,175,693,15,2.2,0.55,29|40|147|952|1003|1910|2982|3778|4544|5795|6546|7010|9353|9590|27345,ABR|ASIC2|ADRA1B|CD38|CDH5|EDNRB|GUCY1A1|KCNMA1|MTNR1B|PTPRJ|SLC8A1|TEK|SLIT2|AKAP12|KCNMB4,-3.7,10
GO Biological Processes,19,GO:0050773,regulation of dendrite development,-4.5,3.6,5.3,27994,155,693,14,2,0.53,577|4208|5649|5789|6383|7074|9912|22871|22941|57118|57520|57580|124925|221935,ADGRB3|MEF2C|RELN|PTPRD|SDC2|TIAM1|ARHGAP44|NLGN1|SHANK2|CAMK1D|HECW2|PREX1|SEZ6|SDK1,-3.7,10
GO Biological Processes,19,GO:0035235,ionotropic glutamate receptor signaling pathway,-4.5,9.3,6.8,27994,26,693,6,0.87,0.35,2893|2895|2901|2903|7074|116443,GRIA4|GRID2|GRIK5|GRIN2A|TIAM1|GRIN3A,-3.7,10
Reactome Gene Sets,6,R-HSA-418594,G alpha (i) signalling events,-4.5,2.5,4.8,27994,407,693,25,3.6,0.71,140|1903|2239|2262|2770|2774|2788|2913|2986|4544|5137|5142|5588|5950|5957|6000|6383|6752|8484|8490|9227|23236|51764|79823|221391,ADORA3|S1PR3|GPC4|GPC5|GNAI1|GNAL|GNG7|GRM3|GUCY2F|MTNR1B|PDE1C|PDE4B|PRKCQ|RBP4|RCVRN|RGS7|SDC2|SSTR2|GALR3|RGS5|LRAT|PLCB1|GNG13|CAMKMT|OPN5,-3.7,10
Reactome Gene Sets,6,R-HSA-382551,Transport of small molecules,-4.5,2.1,4.6,27994,728,693,37,5.3,0.85,40|861|1080|2788|4308|5125|6263|6519|6521|6523|6524|6546|7991|8029|8671|9388|10345|10396|25769|29850|51761|51764|55107|55532|57419|57578|63982|64849|79895|84699|117247|125206|140803|142680|204962|255231|284111,ASIC2|RUNX1|CFTR|GNG7|TRPM1|PCSK5|RYR3|SLC3A1|SLC4A1|SLC5A1|SLC5A2|SLC8A1|TUSC3|CUBN|SLC4A4|LIPG|TRDN|ATP8A1|SLC24A2|TRPM5|ATP8A2|GNG13|ANO1|SLC30A10|SLC24A3|UNC79|ANO3|SLC13A3|ATP8B4|CREB3L3|SLC16A10|SLC5A10|TRPM6|SLC34A3|SLC44A5|MN2|SLC13A5,-3.7,10
GO Biological Processes,19,GO:0030902,hindbrain development,-4.4,3.6,5.2,27994,156,693,14,2,0.53,1272|1600|1950|1959|2895|6095|6752|6928|9001|22891|51176|93986|124925|390992,CNTN1|DAB1|EGF|EGR2|GRID2|RORA|SSTR2|HNF1B|HAP1|ZNF365|LEF1|FOXP2|SEZ6|HES3,-3.7,10
Canonical Pathways,11,M241,PID RAC1 REG PATHWAY,-4.4,7.4,6.3,27994,38,693,7,1,0.38,29|1794|5924|7074|9844|57580|221178,ABR|DOCK2|RASGRF2|TIAM1|ELMO1|PREX1|SPATA13,-3.7,10
GO Biological Processes,19,GO:0097480,establishment of synaptic vesicle localization,-4.4,3.6,5.2,27994,157,693,14,2,0.53,320|776|2901|3798|5071|5217|8447|9515|9699|9751|22871|93664|114088|116443,APBA1|CACNA1D|GRIK5|KIF5A|PRKN|PFN2|DOC2B|STXBP5L|RIMS2|SNPH|NLGN1|CADPS2|TRIM9|GRIN3A,-3.7,10
GO Biological Processes,19,GO:0048489,synaptic vesicle transport,-4.4,3.6,5.2,27994,157,693,14,2,0.53,320|776|2901|3798|5071|5217|8447|9515|9699|9751|22871|93664|114088|116443,APBA1|CACNA1D|GRIK5|KIF5A|PRKN|PFN2|DOC2B|STXBP5L|RIMS2|SNPH|NLGN1|CADPS2|TRIM9|GRIN3A,-3.7,10
Reactome Gene Sets,6,R-HSA-109582,Hemostasis,-4.4,2.1,4.6,27994,621,693,33,4.8,0.81,1794|1950|2157|2158|2770|2788|2977|2982|3045|3046|3048|3699|3700|3778|3798|3834|5336|5588|5593|6383|6401|6414|6546|7010|10461|10846|11343|23414|27345|51764|81704|139189|221458,DOCK2|EGF|F8|F9|GNAI1|GNG7|GUCY1A2|GUCY1A1|HBD|HBE1|HBG2|ITIH3|ITIH4|KCNMA1|KIF5A|KIF25|PLCG2|PRKCQ|PRKG2|SDC2|SELE|SELENOP|SLC8A1|TEK|MERTK|PDE10A|MGLL|ZFPM2|KCNMB4|GNG13|DOCK8|DGKK|KIF6,-3.7,10
GO Biological Processes,19,GO:0051965,positive regulation of synapse assembly,-4.4,5.4,5.8,27994,67,693,9,1.3,0.43,40|577|2895|5789|9378|22871|23284|158038|347731,ASIC2|ADGRB3|GRID2|PTPRD|NRXN1|NLGN1|ADGRL3|LINGO2|LRRTM3,-3.7,10
GO Biological Processes,19,GO:1901021,positive regulation of calcium ion transmembrane transporter activity,-4.4,7.3,6.2,27994,39,693,7,1,0.38,287|2259|5336|6769|9001|9472|10345,ANK2|FGF14|PLCG2|STAC|HAP1|AKAP6|TRDN,-3.6,10
GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,-4.4,2.1,4.5,27994,708,693,36,5.2,0.84,29|683|1794|1809|4208|4703|5071|5217|7010|7046|7111|8477|9353|9844|9886|9912|11170|22843|23136|23500|25802|26053|26999|29999|57482|57580|79822|80731|84448|85477|92521|129446|152273|203447|221692|221981,ABR|BST1|DOCK2|DPYSL3|MEF2C|NEB|PRKN|PFN2|TEK|TGFBR1|TMOD1|GPR65|SLIT2|ELMO1|RHOBTB1|ARHGAP44|FAM107A|PPM1E|EPB41L3|DAAM2|LMOD1|AUTS2|CYFIP2|FSCN3|CRACD|PREX1|ARHGAP28|THSD7B|ABLIM2|SCIN|SPECC1|XIRP2|FGD5|NRK|PHACTR1|THSD7A,-3.6,10
GO Biological Processes,19,GO:0007158,neuron cell-cell adhesion,-4.4,12,7.1,27994,17,693,5,0.72,0.32,460|9369|9378|22871|23245,ASTN1|NRXN3|NRXN1|NLGN1|ASTN2,-3.6,10
GO Biological Processes,19,GO:0099504,synaptic vesicle cycle,-4.4,3.2,5,27994,201,693,16,2.3,0.57,320|776|2259|2901|5217|6854|8447|9378|9515|9699|9751|9863|22871|93664|114088|116443,APBA1|CACNA1D|FGF14|GRIK5|PFN2|SYN2|DOC2B|NRXN1|STXBP5L|RIMS2|SNPH|MAGI2|NLGN1|CADPS2|TRIM9|GRIN3A,-3.6,10
GO Biological Processes,19,GO:0016079,synaptic vesicle exocytosis,-4.3,4,5.3,27994,121,693,12,1.7,0.5,320|776|2901|5217|8447|9515|9699|9751|22871|93664|114088|116443,APBA1|CACNA1D|GRIK5|PFN2|DOC2B|STXBP5L|RIMS2|SNPH|NLGN1|CADPS2|TRIM9|GRIN3A,-3.6,10
GO Biological Processes,19,GO:0050796,regulation of insulin secretion,-4.3,3.3,5,27994,181,693,15,2.2,0.55,775|776|952|1080|3747|3790|4544|5071|5950|7074|8447|9501|9515|9971|55107,CACNA1C|CACNA1D|CD38|CFTR|KCNC2|KCNS3|MTNR1B|PRKN|RBP4|TIAM1|DOC2B|RPH3AL|STXBP5L|NR1H4|ANO1,-3.6,10
GO Biological Processes,19,GO:0009187,cyclic nucleotide metabolic process,-4.3,7.1,6.1,27994,40,693,7,1,0.38,2977|2982|2984|2986|5142|6095|10846,GUCY1A2|GUCY1A1|GUCY2C|GUCY2F|PDE4B|RORA|PDE10A,-3.6,10
GO Biological Processes,19,GO:0051281,positive regulation of release of sequestered calcium ion into cytosol,-4.3,7.1,6.1,27994,40,693,7,1,0.38,4923|9001|9472|10345|57214|90070|387129,NTSR1|HAP1|AKAP6|TRDN|CEMIP|LACRT|NPSR1,-3.6,10
GO Biological Processes,19,GO:0034767,positive regulation of ion transmembrane transport,-4.3,3.5,5.1,27994,161,693,14,2,0.53,287|1080|2259|3747|4923|5336|5649|6769|9001|9472|10345|57214|90070|387129,ANK2|CFTR|FGF14|KCNC2|NTSR1|PLCG2|RELN|STAC|HAP1|AKAP6|TRDN|CEMIP|LACRT|NPSR1,-3.6,10
GO Biological Processes,19,GO:0034330,cell junction organization,-4.3,2.7,4.8,27994,318,693,21,3,0.65,94|287|421|861|1003|1005|1006|1010|5795|7010|7046|7368|9971|11170|23136|54549|91862|129446|144100|221935|253559,ACVRL1|ANK2|ARVCF|RUNX1|CDH5|CDH7|CDH8|CDH12|PTPRJ|TEK|TGFBR1|UGT8|NR1H4|FAM107A|EPB41L3|SDK2|MARVELD3|XIRP2|PLEKHA7|SDK1|CADM2,-3.6,10
GO Biological Processes,19,GO:0017157,regulation of exocytosis,-4.3,3,4.9,27994,226,693,17,2.5,0.59,29|320|776|1080|2901|5071|5217|8447|9001|9501|9515|9699|22871|79643|93664|114088|116443,ABR|APBA1|CACNA1D|CFTR|GRIK5|PRKN|PFN2|DOC2B|HAP1|RPH3AL|STXBP5L|RIMS2|NLGN1|CHMP6|CADPS2|TRIM9|GRIN3A,-3.6,10
GO Biological Processes,19,GO:2000463,positive regulation of excitatory postsynaptic potential,-4.3,8.7,6.5,27994,28,693,6,0.87,0.35,5649|9378|9699|22871|22941|152404,RELN|NRXN1|RIMS2|NLGN1|SHANK2|IGSF11,-3.6,10
GO Biological Processes,19,GO:0046879,hormone secretion,-4.2,2.6,4.7,27994,321,693,21,3,0.65,775|776|952|1080|1393|3589|3747|3790|4544|5071|5950|6928|7074|8447|9501|9515|9699|9971|55107|117247|338557,CACNA1C|CACNA1D|CD38|CFTR|CRHBP|IL11|KCNC2|KCNS3|MTNR1B|PRKN|RBP4|HNF1B|TIAM1|DOC2B|RPH3AL|STXBP5L|RIMS2|NR1H4|ANO1|SLC16A10|FFAR4,-3.5,10
GO Biological Processes,19,GO:1902742,apoptotic process involved in development,-4.2,6.9,6,27994,41,693,7,1,0.38,6092|6586|6928|9353|51176|114786|286046,ROBO2|SLIT3|HNF1B|SLIT2|LEF1|XKR4|XKR6,-3.5,10
KEGG Pathway,24,ko04727,GABAergic synapse,-4.2,4.6,5.4,27994,88,693,10,1.4,0.45,774|775|776|2559|2561|2770|2788|3763|9001|51764,CACNA1B|CACNA1C|CACNA1D|GABRA6|GABRB2|GNAI1|GNG7|KCNJ6|HAP1|GNG13,-3.5,10
GO Biological Processes,19,GO:0032414,positive regulation of ion transmembrane transporter activity,-4.2,4.2,5.2,27994,106,693,11,1.6,0.47,287|1080|2259|3747|4923|5336|5649|6769|9001|9472|10345,ANK2|CFTR|FGF14|KCNC2|NTSR1|PLCG2|RELN|STAC|HAP1|AKAP6|TRDN,-3.5,10
GO Biological Processes,19,GO:0043113,receptor clustering,-4.2,5.8,5.7,27994,56,693,8,1.2,0.41,1740|1741|2901|5649|9378|9863|22871|57554,DLG2|DLG3|GRIK5|RELN|NRXN1|MAGI2|NLGN1|LRRC7,-3.5,10
Reactome Gene Sets,6,R-HSA-428542,Regulation of commissural axon pathfinding by SLIT and ROBO,-4.2,16,7.6,27994,10,693,4,0.58,0.29,4753|6092|6586|9353,NELL2|ROBO2|SLIT3|SLIT2,-3.5,10
KEGG Pathway,24,ko05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC),-4.2,5,5.5,27994,72,693,9,1.3,0.43,775|776|785|3908|6444|6546|29119|51176|55799,CACNA1C|CACNA1D|CACNB4|LAMA2|SGCD|SLC8A1|CTNNA3|LEF1|CACNA2D3,-3.5,10
GO Biological Processes,19,GO:1901019,regulation of calcium ion transmembrane transporter activity,-4.1,4.5,5.3,27994,89,693,10,1.4,0.45,287|785|2259|5142|5336|6769|9001|9472|10345|126306,ANK2|CACNB4|FGF14|PDE4B|PLCG2|STAC|HAP1|AKAP6|TRDN|JSRP1,-3.5,10
